IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度MB/s
47.236.9.152,2053,TRUE,SIN,Asia Pacific,Singapore,68 ms,21.06
47.243.120.239,2053,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,21.04
47.243.198.198,2053,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,18.87
47.236.164.215,2053,TRUE,SIN,Asia Pacific,Singapore,77 ms,17.38
47.236.102.102,2053,TRUE,SIN,Asia Pacific,Singapore,74 ms,16.99
47.237.10.1,2053,TRUE,SIN,Asia Pacific,Singapore,99 ms,16.46
8.210.126.88,2053,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,15.87
47.236.164.65,2053,TRUE,SIN,Asia Pacific,Singapore,71 ms,15.06
47.236.117.48,2083,TRUE,SIN,Asia Pacific,Singapore,98 ms,20.64
47.236.189.92,2083,TRUE,SIN,Asia Pacific,Singapore,76 ms,19.36
8.222.145.43,2083,TRUE,SIN,Asia Pacific,Singapore,73 ms,17.73
8.219.110.248,2087,TRUE,SIN,Asia Pacific,Singapore,71 ms,20.1
47.236.118.216,2087,TRUE,SIN,Asia Pacific,Singapore,78 ms,16.53
47.236.80.110,2096,TRUE,SIN,Asia Pacific,Singapore,72 ms,19.36
43.245.198.31,34237,TRUE,SIN,Asia Pacific,Singapore,67 ms,17.35
206.237.7.18,34237,TRUE,HKG,Asia Pacific,Hong Kong,117 ms,15.86
47.128.255.240,443,TRUE,SIN,Asia Pacific,Singapore,98 ms,21.5
13.213.206.28,443,TRUE,SIN,Asia Pacific,Singapore,68 ms,20.72
178.173.248.146,443,TRUE,HKG,Asia Pacific,Hong Kong,37 ms,19.29
8.222.204.128,443,TRUE,SIN,Asia Pacific,Singapore,71 ms,18.77
45.32.99.51,443,TRUE,SIN,Asia Pacific,Singapore,152 ms,18.38
18.143.236.187,443,TRUE,SIN,Asia Pacific,Singapore,75 ms,17.61
206.206.104.13,443,TRUE,HKG,Asia Pacific,Hong Kong,43 ms,17.24
103.30.77.35,443,TRUE,HKG,Asia Pacific,Hong Kong,90 ms,16.96
185.81.28.183,8443,TRUE,SIN,Asia Pacific,Singapore,111 ms,15.45
178.253.32.56,8443,TRUE,HKG,Asia Pacific,Hong Kong,99 ms,15.07
47.236.180.24,2053,TRUE,SIN,Asia Pacific,Singapore,75 ms,17.68
47.236.120.9,2053,TRUE,SIN,Asia Pacific,Singapore,77 ms,17.45
47.237.92.26,2053,TRUE,SIN,Asia Pacific,Singapore,80 ms,15.31
47.237.86.185,2087,TRUE,SIN,Asia Pacific,Singapore,99 ms,16.5
47.236.253.41,2087,TRUE,SIN,Asia Pacific,Singapore,103 ms,15.37
47.237.82.15,2087,TRUE,SIN,Asia Pacific,Singapore,80 ms,15.3
47.237.95.156,2096,TRUE,SIN,Asia Pacific,Singapore,73 ms,21.74
47.236.170.54,2096,TRUE,SIN,Asia Pacific,Singapore,87 ms,18.87
124.156.187.20,34237,TRUE,HKG,Asia Pacific,Hong Kong,35 ms,19.2
210.3.205.178,34237,TRUE,HKG,Asia Pacific,Hong Kong,224 ms,15.26
45.78.23.3,443,TRUE,HKG,Asia Pacific,Hong Kong,74 ms,19.29
95.214.164.63,443,TRUE,HKG,Asia Pacific,Hong Kong,82 ms,16.52
13.250.131.37,443,TRUE,SIN,Asia Pacific,Singapore,65 ms,15.21
47.236.180.51,2083,TRUE,SIN,Asia Pacific,Singapore,286 ms,6272 kB/s
47.237.95.146,8443,TRUE,SIN,Asia Pacific,Singapore,304 ms,6126 kB/s
47.236.170.225,8443,TRUE,SIN,Asia Pacific,Singapore,273 ms,5871 kB/s
47.237.95.13,2083,TRUE,SIN,Asia Pacific,Singapore,282 ms,5650 kB/s
47.236.171.205,2053,TRUE,SIN,Asia Pacific,Singapore,281 ms,5452 kB/s
47.236.17.193,2096,TRUE,SIN,Asia Pacific,Singapore,272 ms,5295 kB/s
47.236.130.95,8443,TRUE,SIN,Asia Pacific,Singapore,285 ms,5266 kB/s
47.237.95.140,2096,TRUE,SIN,Asia Pacific,Singapore,277 ms,5122 kB/s
47.236.167.231,8443,TRUE,SIN,Asia Pacific,Singapore,283 ms,5097 kB/s
