IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度MB/s
47.236.117.48,2053,TRUE,SIN,Asia Pacific,Singapore,66 ms,21.45
8.219.110.248,2053,TRUE,SIN,Asia Pacific,Singapore,74 ms,18.93
202.182.125.193,2053,TRUE,NRT,Asia Pacific,东京,36 ms,18.14
47.236.180.24,2053,TRUE,SIN,Asia Pacific,Singapore,75 ms,17.68
47.236.9.152,2053,TRUE,SIN,Asia Pacific,Singapore,76 ms,17.61
47.236.120.9,2053,TRUE,SIN,Asia Pacific,Singapore,77 ms,17.45
202.182.125.193,2053,TRUE,NRT,Asia Pacific,东京,37 ms,15.57
47.237.92.26,2053,TRUE,SIN,Asia Pacific,Singapore,80 ms,15.31
47.236.80.110,2083,TRUE,SIN,Asia Pacific,Singapore,245 ms,18.14
47.236.118.216,2083,TRUE,SIN,Asia Pacific,Singapore,91 ms,17.83
47.237.92.26,2083,TRUE,SIN,Asia Pacific,Singapore,89 ms,16.75
47.236.189.92,2083,TRUE,SIN,Asia Pacific,Singapore,78 ms,15.93
47.236.180.24,2083,TRUE,SIN,Asia Pacific,Singapore,75 ms,15.92
35.200.25.49,2087,TRUE,NRT,Asia Pacific,东京,79 ms,18.91
47.237.86.185,2087,TRUE,SIN,Asia Pacific,Singapore,99 ms,16.5
47.236.253.41,2087,TRUE,SIN,Asia Pacific,Singapore,103 ms,15.37
47.237.82.15,2087,TRUE,SIN,Asia Pacific,Singapore,80 ms,15.3
47.237.95.156,2096,TRUE,SIN,Asia Pacific,Singapore,73 ms,21.74
47.236.170.54,2096,TRUE,SIN,Asia Pacific,Singapore,87 ms,18.87
132.226.22.106,34237,TRUE,NRT,Asia Pacific,东京,67 ms,20.34
124.156.187.20,34237,TRUE,HKG,Asia Pacific,Hong Kong,35 ms,19.2
152.70.239.134,34237,TRUE,ICN,Asia Pacific,首尔,72 ms,17.75
45.63.123.218,34237,TRUE,NRT,Asia Pacific,东京,36 ms,17.42
45.63.123.218,34237,TRUE,NRT,Asia Pacific,东京,40 ms,17.41
52.199.110.110,34237,TRUE,NRT,Asia Pacific,东京,110 ms,17.16
146.56.190.51,34237,TRUE,ICN,Asia Pacific,首尔,66 ms,16.93
45.32.51.130,34237,TRUE,NRT,Asia Pacific,东京,44 ms,16.18
45.76.100.65,34237,TRUE,NRT,Asia Pacific,东京,37 ms,16.14
132.226.22.106,34237,TRUE,ICN,Asia Pacific,首尔,72 ms,15.97
152.70.239.134,34237,TRUE,NRT,Asia Pacific,东京,75 ms,15.75
210.3.205.178,34237,TRUE,HKG,Asia Pacific,Hong Kong,224 ms,15.26
47.128.255.240,443,TRUE,SIN,Asia Pacific,Singapore,82 ms,23.37
206.206.104.13,443,TRUE,HKG,Asia Pacific,Hong Kong,51 ms,22.83
178.173.248.146,443,TRUE,HKG,Asia Pacific,Hong Kong,36 ms,22.07
3.113.111.83,443,TRUE,NRT,Asia Pacific,东京,32 ms,20.25
54.249.135.43,443,TRUE,NRT,Asia Pacific,东京,44 ms,19.96
38.207.130.152,443,TRUE,NRT,Asia Pacific,东京,47 ms,19.69
66.42.34.203,443,TRUE,NRT,Asia Pacific,东京,38 ms,19.39
45.78.23.3,443,TRUE,HKG,Asia Pacific,Hong Kong,74 ms,19.29
45.32.25.171,443,TRUE,NRT,Asia Pacific,东京,47 ms,19.22
45.143.233.193,443,TRUE,NRT,Asia Pacific,东京,57 ms,19.12
34.80.252.27,443,TRUE,TPE,Asia Pacific,台北,48 ms,17.96
45.77.130.245,443,TRUE,NRT,Asia Pacific,东京,39 ms,16.55
95.214.164.63,443,TRUE,HKG,Asia Pacific,Hong Kong,82 ms,16.52
18.143.236.187,443,TRUE,SIN,Asia Pacific,Singapore,69 ms,16.35
45.77.130.245,443,TRUE,NRT,Asia Pacific,东京,69 ms,16.28
91.200.242.117,443,TRUE,NRT,Asia Pacific,东京,50 ms,16.2
45.78.23.3,443,TRUE,HKG,Asia Pacific,Hong Kong,77 ms,15.93
54.95.94.250,443,TRUE,NRT,Asia Pacific,东京,71 ms,15.86
59.3.3.161,443,TRUE,ICN,Asia Pacific,首尔,48 ms,15.8
8.222.204.128,443,TRUE,SIN,Asia Pacific,Singapore,68 ms,15.59
176.119.148.163,443,TRUE,NRT,Asia Pacific,东京,80 ms,15.3
13.250.131.37,443,TRUE,SIN,Asia Pacific,Singapore,65 ms,15.21
146.56.146.67,443,TRUE,NRT,Asia Pacific,东京,65 ms,15.03
47.236.189.92,8443,TRUE,SIN,Asia Pacific,Singapore,75 ms,20.36
202.182.125.193,8443,TRUE,NRT,Asia Pacific,东京,36 ms,17.85
13.231.236.95,8443,TRUE,NRT,Asia Pacific,东京,85 ms,15.37
47.236.180.24,8443,TRUE,SIN,Asia Pacific,Singapore,84 ms,15.24
47.237.10.1,2053,TRUE,SIN,Asia Pacific,Singapore,285 ms,6343 kB/s
47.236.180.51,2083,TRUE,SIN,Asia Pacific,Singapore,286 ms,6272 kB/s
47.237.95.156,2083,TRUE,SIN,Asia Pacific,Singapore,269 ms,6201 kB/s
47.237.95.146,8443,TRUE,SIN,Asia Pacific,Singapore,304 ms,6126 kB/s
47.237.95.156,2096,TRUE,SIN,Asia Pacific,Singapore,284 ms,6104 kB/s
47.237.95.156,2053,TRUE,SIN,Asia Pacific,Singapore,277 ms,5947 kB/s
47.236.170.225,8443,TRUE,SIN,Asia Pacific,Singapore,273 ms,5871 kB/s
47.237.95.13,2083,TRUE,SIN,Asia Pacific,Singapore,282 ms,5650 kB/s
8.222.204.128,443,TRUE,SIN,Asia Pacific,Singapore,266 ms,5508 kB/s
47.236.171.205,2053,TRUE,SIN,Asia Pacific,Singapore,281 ms,5452 kB/s
47.236.17.193,2096,TRUE,SIN,Asia Pacific,Singapore,272 ms,5295 kB/s
47.236.130.95,8443,TRUE,SIN,Asia Pacific,Singapore,285 ms,5266 kB/s
47.236.253.41,2087,TRUE,SIN,Asia Pacific,Singapore,292 ms,5243 kB/s
47.236.130.95,2087,TRUE,SIN,Asia Pacific,Singapore,272 ms,5142 kB/s
47.236.171.205,2083,TRUE,SIN,Asia Pacific,Singapore,286 ms,5126 kB/s
