IP地址,端口,TLS,数据中心,地区,国家,城市,网络延迟,下载速度MB/s
47.237.0.31,2053,TRUE,SIN,亚洲,SG,新加坡,223 ms,22.44
47.236.169.202,2053,TRUE,SIN,亚洲,SG,新加坡,126 ms,21.71
47.237.84.173,2053,TRUE,SIN,亚洲,SG,新加坡,206 ms,21.33
47.236.146.249,2053,TRUE,SIN,亚洲,SG,新加坡,210 ms,20.2
47.237.83.20,2053,TRUE,SIN,亚洲,SG,新加坡,62 ms,19.56
47.237.121.38,2053,TRUE,SIN,亚洲,SG,新加坡,123 ms,19.29
8.219.123.11,2053,TRUE,SIN,亚洲,SG,新加坡,274 ms,19.02
47.236.189.92,2053,TRUE,SIN,亚洲,SG,新加坡,270 ms,18.7
47.236.6.170,2053,TRUE,SIN,亚洲,SG,新加坡,194 ms,18.14
47.236.120.9,2053,TRUE,SIN,亚洲,SG,新加坡,163 ms,17.87
47.236.232.148,2053,TRUE,SIN,亚洲,SG,新加坡,191 ms,16.84
13.231.236.95,2053,TRUE,NRT,亚洲,JP,东京,126 ms,16.79
47.236.145.85,2053,TRUE,SIN,亚洲,SG,新加坡,148 ms,16.72
47.236.80.110,2053,TRUE,SIN,亚洲,SG,新加坡,167 ms,16.5
47.236.17.193,2053,TRUE,SIN,亚洲,SG,新加坡,192 ms,16.25
8.219.110.248,2053,TRUE,SIN,亚洲,SG,新加坡,146 ms,16.19
47.237.95.156,2053,TRUE,SIN,亚洲,SG,新加坡,203 ms,15.86
47.236.164.65,2053,TRUE,SIN,亚洲,SG,新加坡,189 ms,15.12
47.237.81.112,2053,TRUE,SIN,亚洲,SG,新加坡,328 ms,15.1
47.237.86.185,2053,TRUE,SIN,亚洲,SG,新加坡,107 ms,15.02
8.222.145.43,2083,TRUE,SIN,亚洲,SG,新加坡,135 ms,21.05
47.236.9.152,2083,TRUE,SIN,亚洲,SG,新加坡,75 ms,20.54
47.236.99.59,2083,TRUE,SIN,亚洲,SG,新加坡,177 ms,20.53
47.237.94.140,2083,TRUE,SIN,亚洲,SG,新加坡,264 ms,19.12
47.236.104.11,2083,TRUE,SIN,亚洲,SG,新加坡,174 ms,17.75
47.237.100.206,2083,TRUE,SIN,亚洲,SG,新加坡,173 ms,17.52
47.236.130.95,2083,TRUE,SIN,亚洲,SG,新加坡,405 ms,16.65
47.237.92.26,2083,TRUE,SIN,亚洲,SG,新加坡,148 ms,16.2
47.236.237.90,2083,TRUE,SIN,亚洲,SG,新加坡,263 ms,15.56
47.236.102.102,2083,TRUE,SIN,亚洲,SG,新加坡,115 ms,15.4
47.236.205.188,2083,TRUE,SIN,亚洲,SG,新加坡,165 ms,15.37
8.219.208.104,2087,TRUE,SIN,亚洲,SG,新加坡,229 ms,22.18
47.237.8.82,2087,TRUE,SIN,亚洲,SG,新加坡,115 ms,17.64
45.77.14.128,2087,TRUE,NRT,亚洲,JP,东京,150 ms,17.04
47.236.180.51,2087,TRUE,SIN,亚洲,SG,新加坡,136 ms,16.79
47.237.14.220,2096,TRUE,SIN,亚洲,SG,新加坡,287 ms,20.54
47.236.75.152,2096,TRUE,SIN,亚洲,SG,新加坡,178 ms,19.81
47.236.118.216,2096,TRUE,SIN,亚洲,SG,新加坡,183 ms,19.11
103.201.130.227,2096,TRUE,NRT,亚洲,JP,东京,89 ms,18.12
47.237.125.8,2096,TRUE,SIN,亚洲,SG,新加坡,216 ms,15.7
52.199.110.110,34237,TRUE,NRT,亚洲,JP,东京,124 ms,21
147.78.247.212,34237,TRUE,NRT,亚洲,JP,东京,71 ms,16.94
146.56.190.51,34237,TRUE,ICN,亚洲,KR,首尔,172 ms,16.44
45.76.100.65,34237,TRUE,NRT,亚洲,JP,东京,55 ms,15.99
45.63.123.218,34237,TRUE,NRT,亚洲,JP,东京,55 ms,15.93
210.3.205.178,34237,TRUE,HKG,亚洲,HK,香港,360 ms,15.58
152.70.239.134,34237,TRUE,ICN,亚洲,KR,首尔,193 ms,15.37
206.206.104.13,443,TRUE,HKG,亚洲,HK,香港,153 ms,24.51
178.173.248.146,443,TRUE,HKG,亚洲,HK,香港,53 ms,22.34
167.88.185.204,443,TRUE,KIX,亚洲,JP,大阪,174 ms,21.31
13.230.34.30,443,TRUE,NRT,亚洲,JP,东京,172 ms,20.14
103.30.77.35,443,TRUE,HKG,亚洲,HK,香港,95 ms,18.53
47.236.117.48,443,TRUE,SIN,亚洲,SG,新加坡,111 ms,16.69
47.128.255.240,443,TRUE,SIN,亚洲,SG,新加坡,160 ms,16.22
8.222.204.128,443,TRUE,SIN,亚洲,SG,新加坡,184 ms,15.96
45.143.233.193,443,TRUE,NRT,亚洲,JP,东京,139 ms,15.6
47.236.164.215,443,TRUE,SIN,亚洲,SG,新加坡,94 ms,15.5
103.232.214.11,8443,TRUE,NRT,亚洲,JP,东京,58 ms,24.47
47.236.202.91,8443,TRUE,SIN,亚洲,SG,新加坡,200 ms,20.57
47.236.167.231,8443,TRUE,SIN,亚洲,SG,新加坡,109 ms,19.3
47.236.253.41,8443,TRUE,SIN,亚洲,SG,新加坡,190 ms,17.4
140.238.12.52,8443,TRUE,NRT,亚洲,JP,东京,214 ms,15.2
47.243.169.90,2096,TRUE,HKG,亚太,HK,香港,53 ms,27.27
8.210.126.88,2087,TRUE,HKG,亚太,HK,香港,58 ms,27.02
47.243.198.198,2087,TRUE,HKG,亚太,HK,香港,53 ms,26.42
45.78.23.3,443,TRUE,HKG,亚太,HK,香港,47 ms,26.28
47.243.120.239,8443,TRUE,HKG,亚太,HK,香港,70 ms,26.03
38.207.130.152,443,TRUE,NRT,亚太,JP,东京,84 ms,25.52
172.104.127.132,443,TRUE,NRT,亚太,JP,东京,198 ms,24.84
38.150.15.137,443,TRUE,HKG,亚太,HK,香港,154 ms,24.74
38.150.14.220,443,TRUE,HKG,亚太,HK,香港,83 ms,24.57
38.150.13.40,34237,TRUE,HKG,亚太,HK,香港,391 ms,24.51
95.214.164.63,443,TRUE,HKG,亚太,HK,香港,91 ms,24.38
103.106.228.67,8443,TRUE,NRT,亚太,JP,东京,71 ms,24.28
3.113.111.83,443,TRUE,NRT,亚太,JP,东京,44 ms,23.8
45.8.186.160,8443,TRUE,HKG,亚太,HK,香港,39 ms,23.61
193.122.118.149,34237,TRUE,ICN,亚太,KR,首尔,53 ms,22.81
54.249.173.119,443,TRUE,NRT,亚太,JP,东京,44 ms,22.54
103.172.135.188,443,TRUE,HKG,亚太,HK,香港,58 ms,22.52
208.87.96.64,443,TRUE,HKG,亚太,HK,香港,90 ms,22.45
54.249.135.43,443,TRUE,NRT,亚太,JP,东京,70 ms,22.33
193.226.78.81,8443,TRUE,HKG,亚太,HK,香港,62 ms,22.25
176.97.73.82,2053,TRUE,NRT,亚太,JP,东京,46 ms,22.06
129.154.221.203,34237,TRUE,ICN,亚太,KR,首尔,64 ms,21.83
3.112.21.102,443,TRUE,NRT,亚太,JP,东京,66 ms,21.66
152.69.213.194,34237,TRUE,SIN,亚太,SG,新加坡,83 ms,21.55
132.226.22.106,34237,TRUE,ICN,亚太,KR,首尔,124 ms,21.33
47.236.144.208,2083,TRUE,SIN,亚太,SG,新加坡,519 ms,21.13
139.162.8.80,443,TRUE,SIN,亚太,SG,新加坡,121 ms,21.01
47.236.180.24,8443,TRUE,SIN,亚太,SG,新加坡,101 ms,20.93
59.3.3.161,443,TRUE,ICN,亚太,KR,首尔,105 ms,20.74
3.1.243.149,443,TRUE,SIN,亚太,SG,新加坡,70 ms,20.71
208.87.96.89,2053,TRUE,HKG,亚太,HK,香港,51 ms,20.71
168.138.184.172,443,TRUE,SIN,亚太,SG,新加坡,69 ms,20.58
47.236.165.25,2083,TRUE,SIN,亚太,SG,新加坡,113 ms,20.06
38.180.150.193,2053,TRUE,HKG,亚太,HK,香港,111 ms,19.79
45.205.0.64,8443,TRUE,SEA,北美洲,US,西雅图,149 ms,19.72
193.123.225.106,34237,TRUE,ICN,亚太,KR,首尔,118 ms,19.65
156.238.18.28,2083,TRUE,LAX,北美洲,US,洛杉矶,659 ms,19.52
141.11.78.134,8443,TRUE,HKG,亚太,HK,香港,48 ms,19.34
156.238.18.210,2083,TRUE,SEA,北美洲,US,西雅图,150 ms,19.32
156.238.19.3,8443,TRUE,SEA,北美洲,US,西雅图,179 ms,19.28
